Symbol	Description
CHE.DB	Chemtrade Logistics Income Fund 6.0 Debs
CHE.DB.A	Chemtrade Logistics If 5.75 Pct Debs
CHE.UN	Chemtrade Logistics Income Fund
CHH	Centric Health Corporation
CHH.NT	Centric Health Corp 6.75 Pct De
CHI	Claymore China ETF
CHI.A	Ishares China All Cap Index Fd
CHM	Champion Minerals Inc
CHP.UN	Choice Properties Real Estate I
CHR.A	Chorus Aviation Inc Cl A
CHR.B	Chorus Aviation Inc Cl B
CHR.DB	Chorus Aviation Inc Debs
CHW	Chesswood Group Limited
CIC	Canbanc Income Corp
CIE	Ishares Intl Fundamental Index Fund
CIE.A	Ishares Intl Fundamental Index Fund AC
CIF	Claymore Global Infrastructure ETF
CIF.A	Claymore Global Adv Cl
CIP.UN	Ci Master Limited Partnership
CIQ.UN	Canadian High Income Equity Fund
CIR	Copernican Intl. Fin Split Corp Class A
CIR.PR.A	Copernican Intl. Fin Split Corp Pref Sh
CIU.PR.A	Cu Inc. Preferred Shares
CIU.PR.B	Cu Inc. Cum. Redeem. Pref. Sh. Series 2
CIU.PR.C	Cu Inc Preferred Series 4
CIW.UN	Copernican Wld Fin Trust Units
CIX	Ci Financial Corp.
CJP	Claymore Japan Fund Idx ETF C$ Hedged
CJP.A	Ishares Japan Fund Idx CAD Hedg
CJR.B	Corus Entertainment Inc. Cl.B Nv
CJT	Cargojet Inc.
CJT.DB.A	Cargojet Inc 6.5 Pct Debs
CKE	Chinook Energy Inc.
CKI	Clarke Inc
CKI.DB.A	Clarke Inc. 6.0% Debs
CLC	Cml Healthcare Inc.
CLF	Claymore 1-5 Yr Ladder Gov T Bond ETF
CLF.A	Claymore 1-5 Yr Ladder Gov T Bond ETF A
CLG	Claymore 1-10 Yr Ladder Govt Bond ETF
CLG.A	Ishares 1-10 Yr Ladder Govt Bon
CLK	Clublink Enterprises Limited
CLL	Connacher Oil
CLO	Ishares Oil Sands Idx Fd
CLQ	Canada Lithium Corp
CLR	Clearwater Seafoods Incorporated
CLS	Celestica Inc. Sv
CLU	Ishares US Fundamental Index Fund
CLU.A	Ishares US Fundamental Index Fund AC
CLU.B	Ishares US Fundamental Index Fund Nh AC
CLU.C	Ishares US Fundamental Index Fund Nh
CM	Canadian Imperial Bank Of Commerce
CM.PR.D	Cdn Imp Bank Ser 26
CM.PR.E	Cibc Pr.A Ser 27
CM.PR.G	Cdn Imp Bank Of Com. Cl. A Pr. Ser 29
CM.PR.K	Cibc Non-Cum Pref Cl A Ser 33
CM.PR.L	Cibc Non-Cum Pref Cl A Ser 35
