Symbol	Description
FMG	First Mexican Gold Corp.
FMM	Full Metal Minerals Ltd
FMR	Fairmont Resources Inc
FMS	Focus Metals Inc.
FMX	First Mountain Exploration Ltd
FNC	Fancamp Exploration Ltd.
FNR	49 North Resources Inc.
FO	Falcon Oil & Gas Ltd
FOM	Foran Mining Corporation
FPC	Falco Pacific Resource Group Inc
FRA	Freyja Resources Inc
FRI	Freeport Resources Inc.
FRN	Feronia Inc
FS.H	First Star Resources Inc
FSC.H	Fitch Street Capital Corp.
FSH	Agrimarine Holdings Inc.
FSI	Fsi Energy Services Inc.
FSN	Franchise Services Of North Ame
FST.H	Fortress Minerals Corp
FSW	Fireswirltechnologies Inc.
FTI	Fti Foodtech International Inc.
FTJ	Fort ST James Nickel Corp
FTR	Firesteel Resources Inc
FV	Firestone Ventures Inc
FVR	Finavera Wind Energy Inc
FWK	Liuyang Fireworks Limited
FYL	Finlay Minerals Ltd.
FZ	Full Metal Zinc Ltd
GA	Golconda Res Ltd
GAE	Greenangel Energy Corp
GAL	Galantas Gold Corp.
GAR	Green Arrow Resources Inc.
GAV	Galvanic Applied Sciences Inc
GAZ.UN	Fronsac Capital REIT Units
GB	Ginger Beef Corp.
GBB	Gold Bullion Development Corp.
GBI.H	Global Railway Industries Ltd
GBL	Gb Minerals Ltd
GBM	Greater China Capital Inc
GBN	Golden Band Resources Inc.
GBR	Great Bear Resources Ltd
GCC.H	Golden Cariboo Resources Ltd
GCE	Golden Coast Energy Corp
GCN	Goldcliff Resources Corporation
GCO	Global Cobalt Corporation
GCR	Capstock Financial Inc
GCU	Gold Canyon Resources Inc.
GCX	Granite Creek Gold Ltd
GDE.A	Gc-Global Capital Corp. Cl.A Sv
GDM	Goldstar Minerals Inc
GDR	Golden Dory Resources Corp.
GDV.H	Gdv Resources Inc.
GDX	Goldex Resources Corp
GEA	Gold Ridge Exploration Corp
GEG	Ginguro Exploration Inc.
GEL	Glass Earth Gold Limited
GEM	Pele Mountain Resources Inc.
GER	Glen Eagle Resources Inc.
GES	Gemoscan Canada Inc
GET	Georgetown Capital Corp
GEX	Guerrero Exploration Inc
GFK	Gfk Resources Inc.
GFL.P	Gulfstream Acquisition 1 Corp
GFN	Gold Finder Explorations Ltd
GFP	Gale Force Petroleum Inc.
GG	Galane Gold Ltd
GGI	Garibaldi Resources Corp.
GGL	Ggl Resources Corp.
GGX	Global Green Matrix Corp.
GGY	Goldeye Explorations Ltd.
GHR	Golden Harp Resources Inc
GI	Gem International Resources Inc
GIC	Genterra Capital Inc
GIR	Gimus Resources Inc
GIT	Gitennes Exploration Inc
GJB	Gold Jubilee Capital Corp
GKL	Global Key Investment Limited
GKR	Greenock Resources Inc
GKX	Gemini Corporation
GLB	Goldbank Mining Corporation
GLD	Goldon Resources Ltd.
GLM	Glenmark Capital Corp
GLW	Galway Gold Inc
GMA	Geomega Resources Inc
GMN	Gobimin Inc.
GMR	Gastem Inc.
GMT	Mercator Transport Group Corporation
GMV	Gmv Minerals Inc.
GMZ	Global Met Coal Corp
GN	Gonzaga Resources Ltd
GNF	Greenfields Petroleum Corporation
GNF.DB	Greenfields Petroleum Corp 9.0
GNG	Golden Goliath Resources Ltd.
GNH	Golden Hope Mines Ltd
GNM	Geonovus Minerals Corp
GNO	Genoil Inc
GNT	Gentor Resources Inc
GOD	Goldrush Resources Ltd.
GOE	Goldeneye Resources Corp
GOG	Golden Tag Resources Ltd
GOK	Ginsms Inc.
GOM	Golden Dawn Minerals Inc.
GOR	Goldrea Resources Corp.
GP	Golden Peak Minerals Inc
GPG	Grande Portage Resources Ltd.
GPH	Graphite One Resources Inc
GPL	Galileo Petroleum Ltd
GPM	Guyana Precious Metals Inc
GPO	Gold Port Resources Ltd
GPS	Bsm Technologies Inc
GPW	Grand Power Logistics Group Inc
GQ	Great Quest Metals Ltd.
GQC	Goldquest Mining Corp.
GR	Great Atlantic Resources
GRA.H	Graniz Mondal Inc
GRB	Greenbriar Capital Corp
GRE	China Green Star Agricultural Corp
GRG	Golden Arrow Res Corp
GRI	Galore Resources Inc.
GRM	Goldrock Mines Corp
GRN	Greenscape Capital Group Inc.
GRO	Gold Royalties Corporation
GRR	Golden Reign Resources Ltd.
GRV	Gold Reach Resources Ltd
GRX.H	Greenshield Explorations Limited
GRZ	Gold Reserve Inc
GSA	Groundstar Resources Ltd
GSE	Goldspike Exploration Inc
GSH	Golden Share Mining Corporation
GSI	Gatekeeper Systems Inc
GSR	Goldstrike Resources Ltd
GSS	Gossan Resources Limited
GST.P	Golden Sun Capital Inc
GSV	Gold Standard Ventures Corp.
GSW	Green Swan Captial Corp
GSX	Goldstream Minerals Inc
GTA	Gta Resources And Mining Inc.
GTC	Getty Copper Inc.
GTG	Great Thunder Gold Corp
GTO	Galena International Resources Ltd
GTP	Colt Resources Inc
GTR	Gto Resources Inc
GUF	Gulf & Pacific Equities Corp.
GUL	Gulf Shores Resources Ltd
GUM	Gold Mountain Mining Corp
GUN	Gunpoint Exploration Ltd
GVG	Grenville Gold Corporation
GVR	Golden Virtue Resources Inc
GVX.H	Grandview Gold Inc
GWA	Gowest Gold Ltd
GWG	Great Western Minerals Group Ltd.
GWM	Galway Metals Inc
GWQ	Gwr Resources Inc
GX	Guardian Exploration Inc.
GXM	Geodex Minerals Ltd.
GXR	Georoxresources Inc.
