Symbol	Description
O2I	Avic Intl Investments Limited
O2R	Chinasing Investment Hldg Ltd
O31	Ocbc Cap 3.93% S$400m Ncps 10
O32	Olam International Limited
O39	Oversea-chinese Banking Corp
O57	Omega Navigation Ent Inc.
O5QW	Mdr Limited W140925
O5RU	Aims Amp Cap Industrial Reit
O6Z	Lonza Group Ltd
O7AW	Nobel Design Holdings W141021
O87	Spdr Gold Shares
O9A	Dbxt Msci Singapore Im Etf 10
O9B	Dbxt Msci Asiapac Exjap Etf 10
O9C	Dbxt Msci Bangladesh Im Etf 10
O9D	Dbxt Msci Pakistan Im Etf 10
O9E	Parkson Retail Asia Limited
